t	x	y
0.033333999999999836	0.15629692933472006	0.1338824112159802
0.06666699999999946	0.2733394733324692	0.3261933967468602
0.1	0.3722268545806884	0.4970077108060664
0.13333399999999984	0.4969385389607428	0.653888128771984
0.16666700000000037	0.6101799903809559	0.7952745370266783
0.2	0.730947977168281	0.9352414082339826
0.23333399999999982	0.8563327718314975	1.051264805912179
0.2666669999999995	0.9440457610335304	1.2195427487413233
0.2999999999999991	1.0577969963623959	1.3237066467217748
0.33333399999999985	1.1738100686548205	1.4168972339688768
0.36666700000000035	1.2933446742174075	1.5030070396751243
0.4	1.4136273454157293	1.5875060928390203
0.43333399999999983	1.5286016910055067	1.6477856365734787
0.46666699999999944	1.6431963384799548	1.6984471070161589
0.5	1.7622730857808455	1.7483267192161667
0.5333339999999999	1.8714731789514154	1.7841257740132974
0.5666669999999995	1.9954134916289812	1.812230531040723
0.6	2.1114900221346478	1.8339657091759571
0.6333339999999998	2.2367472299315745	1.846621747953412
0.6666670000000003	2.3460129202800513	1.8499107169716256
0.7	2.468015876899501	1.8367292758481746
0.7333339999999998	2.593085216184793	1.822021895473593
0.7666669999999994	2.7053967825868197	1.7906615617003112
0.799999999999999	2.8327488258755134	1.7544175369336656
0.8333339999999998	2.9642216430441994	1.7118368897223872
0.8666670000000004	3.0868845996072842	1.6628532542049173
0.9	3.206511758451085	1.5990396702651322
0.9333339999999999	3.3281390980551286	1.5319741536636977
0.9666669999999995	3.4550360691764723	1.4453500072012808
1.0	3.5827519614440444	1.353494854923842
1.0333339999999998	3.731044437100418	1.2258577004242577
1.0666669999999994	3.8075255185936934	1.1016636506599484
1.1	3.810409162171405	1.06469814376237
